Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_6_42,VPWR,li1,27.6000,29.9200,1.799987
FILLER_6_22,VPWR,li1,17.0200,29.9200,1.799990
FILLER_6_10,VPWR,li1,12.8800,29.9200,1.799990
FILLER_5_103,VPWR,li1,53.1300,24.4800,1.799969
FILLER_5_95,VPWR,li1,51.0600,24.4800,1.799970
FILLER_5_83,VPWR,li1,46.4600,24.4800,1.799973
FILLER_5_75,VPWR,li1,40.2500,24.4800,1.799977
FILLER_5_69,VPWR,li1,38.6400,24.4800,1.799979
FILLER_5_57,VPWR,li1,34.5000,24.4800,1.799981
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799984
FILLER_5_47,VPWR,li1,28.9800,24.4800,1.799985
FILLER_5_35,VPWR,li1,24.3800,24.4800,1.799988
FILLER_4_103,VPWR,li1,53.1300,24.4800,1.799969
FILLER_4_97,VPWR,li1,51.5200,24.4800,1.799970
FILLER_4_85,VPWR,li1,47.3800,24.4800,1.799973
FILLER_4_83,VPWR,li1,43.9300,24.4800,1.799975
FILLER_4_77,VPWR,li1,42.3200,24.4800,1.799976
FILLER_4_65,VPWR,li1,38.1800,24.4800,1.799979
FILLER_4_53,VPWR,li1,32.6600,24.4800,1.799984
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.799986
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799990
FILLER_4_25,VPWR,li1,17.7100,24.4800,1.799989
FILLER_4_17,VPWR,li1,15.1800,24.4800,1.799989
FILLER_3_102,VPWR,li1,53.8200,19.0400,1.799907
FILLER_3_94,VPWR,li1,48.9900,19.0400,1.799912
FILLER_3_88,VPWR,li1,47.3800,19.0400,1.799917
FILLER_3_78,VPWR,li1,42.0900,19.0400,1.799925
FILLER_3_70,VPWR,li1,37.9500,19.0400,1.799937
FILLER_3_64,VPWR,li1,36.3400,19.0400,1.799937
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.799954
FILLER_3_49,VPWR,li1,29.4400,19.0400,1.799954
FILLER_3_37,VPWR,li1,25.3000,19.0400,1.799963
FILLER_3_25,VPWR,li1,19.7800,19.0400,1.799973
FILLER_3_16,VPWR,li1,13.3400,19.0400,1.799972
FILLER_2_103,VPWR,li1,53.1300,19.0400,1.799907
FILLER_2_99,VPWR,li1,51.9800,19.0400,1.799909
FILLER_2_83,VPWR,li1,43.9300,19.0400,1.799922
FILLER_2_79,VPWR,li1,42.7800,19.0400,1.799925
FILLER_2_51,VPWR,li1,30.3600,19.0400,1.799954
FILLER_2_29,VPWR,li1,19.3200,19.0400,1.799973
FILLER_2_27,VPWR,li1,18.1700,19.0400,1.799973
FILLER_2_13,VPWR,li1,11.7300,19.0400,1.799972
FILLER_1_103,VPWR,li1,53.1300,13.6000,1.799905
FILLER_1_87,VPWR,li1,46.0000,13.6000,1.799913
FILLER_1_64,VPWR,li1,35.6500,13.6000,1.799931
FILLER_1_34,VPWR,li1,21.3900,13.6000,1.799968
FILLER_1_20,VPWR,li1,14.9500,13.6000,1.799966
FILLER_0_99,VPWR,li1,51.2900,13.6000,1.799905
FILLER_0_91,VPWR,li1,49.2200,13.6000,1.799907
FILLER_0_85,VPWR,li1,45.0800,13.6000,1.799913
FILLER_0_77,VPWR,li1,41.6300,13.6000,1.799920
FILLER_0_70,VPWR,li1,38.4100,13.6000,1.799925
FILLER_0_63,VPWR,li1,35.1900,13.6000,1.799931
FILLER_0_57,VPWR,li1,32.2000,13.6000,1.799941
FILLER_0_55,VPWR,li1,31.0500,13.6000,1.799941
FILLER_0_48,VPWR,li1,28.5200,13.6000,1.799947
FILLER_0_41,VPWR,li1,25.3000,13.6000,1.799955
FILLER_0_36,VPWR,li1,22.5400,13.6000,1.799963
FILLER_0_21,VPWR,li1,15.4100,13.6000,1.799966
FILLER_0_15,VPWR,li1,12.8800,13.6000,1.799965
output64,VPWR,li1,22.0800,57.1200,1.799969
output63,VPWR,li1,15.1800,57.1200,1.799966
output62,VPWR,li1,20.2400,57.1200,1.799968
output61,VPWR,li1,17.4800,57.1200,1.799967
output60,VPWR,li1,7.8200,51.6800,1.799987
output59,VPWR,li1,22.0800,51.6800,1.799992
output58,VPWR,li1,11.0400,13.6000,1.799964
output57,VPWR,li1,54.2800,19.0400,1.799907
output56,VPWR,li1,54.2800,24.4800,1.799969
output55,VPWR,li1,7.8200,13.6000,1.799963
output54,VPWR,li1,52.4400,13.6000,1.799905
output53,VPWR,li1,54.2800,13.6000,1.799905
output52,VPWR,li1,54.2800,40.8000,1.799955
output51,VPWR,li1,54.2800,35.3600,1.799981
output50,VPWR,li1,54.2800,40.8000,1.799955
output49,VPWR,li1,54.2800,29.9200,1.799973
output48,VPWR,li1,54.2800,13.6000,1.799905
output47,VPWR,li1,43.2400,13.6000,1.799915
output46,VPWR,li1,46.4600,13.6000,1.799910
output45,VPWR,li1,40.0200,13.6000,1.799920
output44,VPWR,li1,14.7200,46.2400,1.799993
output43,VPWR,li1,54.2800,24.4800,1.799969
output42,VPWR,li1,36.8000,13.6000,1.799931
output41,VPWR,li1,54.2800,29.9200,1.799973
output40,VPWR,li1,33.5800,13.6000,1.799935
output39,VPWR,li1,43.2400,57.1200,1.799933
output38,VPWR,li1,46.4600,57.1200,1.799933
output37,VPWR,li1,36.8000,57.1200,1.799940
output36,VPWR,li1,23.9200,57.1200,1.799962
output35,VPWR,li1,30.3600,57.1200,1.799952
output34,VPWR,li1,11.0400,46.2400,1.799992
output33,VPWR,li1,11.5000,13.6000,1.799964
input32,VPWR,li1,12.8800,46.2400,1.799992
input31,VPWR,li1,13.8000,35.3600,1.799993
input30,VPWR,li1,9.2000,57.1200,1.799966
input29,VPWR,li1,14.2600,13.6000,1.799965
input28,VPWR,li1,9.2000,57.1200,1.799966
input27,VPWR,li1,12.4200,24.4800,1.799988
input26,VPWR,li1,16.1000,51.6800,1.799990
input25,VPWR,li1,54.5100,57.1200,1.799932
input24,VPWR,li1,26.9100,13.6000,1.799955
input23,VPWR,li1,9.6600,13.6000,1.799964
input22,VPWR,li1,33.3500,57.1200,1.799945
input21,VPWR,li1,14.0300,13.6000,1.799965
input20,VPWR,li1,54.5100,51.6800,1.799988
input19,VPWR,li1,17.7100,13.6000,1.799967
input18,VPWR,li1,7.5900,40.8000,1.799983
input17,VPWR,li1,9.4300,29.9200,1.799989
input16,VPWR,li1,54.5100,51.6800,1.799988
input15,VPWR,li1,23.6900,13.6000,1.799963
input14,VPWR,li1,7.5900,51.6800,1.799987
input13,VPWR,li1,7.5900,24.4800,1.799988
input12,VPWR,li1,11.5000,46.2400,1.799992
input11,VPWR,li1,54.5100,46.2400,1.799992
input10,VPWR,li1,16.3300,13.6000,1.799966
input9,VPWR,li1,14.2600,40.8000,1.799983
input8,VPWR,li1,7.8200,29.9200,1.799989
input7,VPWR,li1,49.4500,57.1200,1.799933
input6,VPWR,li1,30.1300,13.6000,1.799947
input5,VPWR,li1,39.7900,57.1200,1.799938
input4,VPWR,li1,7.5900,24.4800,1.799988
input3,VPWR,li1,52.6700,57.1200,1.799933
input2,VPWR,li1,12.6500,13.6000,1.799964
input1,VPWR,li1,12.8800,57.1200,1.799966
TAP_TAPCELL_ROW_17_65,VPWR,li1,44.3900,57.4260,1.799933
TAP_TAPCELL_ROW_17_64,VPWR,li1,31.5100,57.4260,1.799949
TAP_TAPCELL_ROW_17_63,VPWR,li1,18.6300,57.4260,1.799968
TAP_TAPCELL_ROW_16_62,VPWR,li1,44.3900,56.8130,1.799933
TAP_TAPCELL_ROW_16_61,VPWR,li1,18.6300,56.8130,1.799968
TAP_TAPCELL_ROW_15_60,VPWR,li1,31.5100,51.9860,1.799990
TAP_TAPCELL_ROW_14_59,VPWR,li1,44.3900,51.3730,1.799989
TAP_TAPCELL_ROW_14_58,VPWR,li1,18.6300,51.3730,1.799991
TAP_TAPCELL_ROW_13_57,VPWR,li1,31.5100,46.5460,1.799994
TAP_TAPCELL_ROW_12_56,VPWR,li1,44.3900,45.9330,1.799993
TAP_TAPCELL_ROW_12_55,VPWR,li1,18.6300,45.9330,1.799994
TAP_TAPCELL_ROW_11_54,VPWR,li1,31.5100,41.1060,1.799975
TAP_TAPCELL_ROW_10_53,VPWR,li1,44.3900,40.4930,1.799962
TAP_TAPCELL_ROW_10_52,VPWR,li1,18.6300,40.4930,1.799984
TAP_TAPCELL_ROW_9_51,VPWR,li1,31.5100,35.6660,1.799990
TAP_TAPCELL_ROW_8_50,VPWR,li1,44.3900,35.0530,1.799984
TAP_TAPCELL_ROW_8_49,VPWR,li1,18.6300,35.0530,1.799994
TAP_TAPCELL_ROW_7_48,VPWR,li1,31.5100,30.2260,1.799984
TAP_TAPCELL_ROW_6_47,VPWR,li1,44.3900,29.6130,1.799977
TAP_TAPCELL_ROW_6_46,VPWR,li1,18.6300,29.6130,1.799990
TAP_TAPCELL_ROW_5_45,VPWR,li1,31.5100,24.7860,1.799984
TAP_TAPCELL_ROW_4_44,VPWR,li1,44.3900,24.1730,1.799975
TAP_TAPCELL_ROW_4_43,VPWR,li1,18.6300,24.1730,1.799989
TAP_TAPCELL_ROW_3_42,VPWR,li1,31.5100,19.3460,1.799949
TAP_TAPCELL_ROW_2_41,VPWR,li1,44.3900,18.7330,1.799922
TAP_TAPCELL_ROW_2_40,VPWR,li1,18.6300,18.7330,1.799973
TAP_TAPCELL_ROW_1_39,VPWR,li1,31.5100,13.9060,1.799941
TAP_TAPCELL_ROW_0_38,VPWR,li1,44.3900,13.2930,1.799913
TAP_TAPCELL_ROW_0_37,VPWR,li1,31.5100,13.2930,1.799941
TAP_TAPCELL_ROW_0_36,VPWR,li1,18.6300,13.2930,1.799967
PHY_EDGE_ROW_17_Left_35,VPWR,li1,6.2100,57.1200,1.799966
PHY_EDGE_ROW_16_Left_34,VPWR,li1,6.2100,57.1200,1.799966
PHY_EDGE_ROW_15_Left_33,VPWR,li1,6.2100,51.6800,1.799987
PHY_EDGE_ROW_14_Left_32,VPWR,li1,6.2100,51.6800,1.799987
PHY_EDGE_ROW_13_Left_31,VPWR,li1,6.2100,46.2400,1.799992
PHY_EDGE_ROW_12_Left_30,VPWR,li1,6.2100,46.2400,1.799992
PHY_EDGE_ROW_11_Left_29,VPWR,li1,6.2100,40.8000,1.799983
PHY_EDGE_ROW_10_Left_28,VPWR,li1,6.2100,40.8000,1.799983
PHY_EDGE_ROW_9_Left_27,VPWR,li1,6.2100,35.3600,1.799993
PHY_EDGE_ROW_8_Left_26,VPWR,li1,6.2100,35.3600,1.799993
PHY_EDGE_ROW_7_Left_25,VPWR,li1,6.2100,29.9200,1.799989
PHY_EDGE_ROW_6_Left_24,VPWR,li1,6.2100,29.9200,1.799989
PHY_EDGE_ROW_5_Left_23,VPWR,li1,6.2100,24.4800,1.799988
PHY_EDGE_ROW_4_Left_22,VPWR,li1,6.2100,24.4800,1.799988
PHY_EDGE_ROW_3_Left_21,VPWR,li1,6.2100,19.0400,1.799971
PHY_EDGE_ROW_2_Left_20,VPWR,li1,6.2100,19.0400,1.799971
PHY_EDGE_ROW_1_Left_19,VPWR,li1,6.2100,13.6000,1.799963
PHY_EDGE_ROW_0_Left_18,VPWR,li1,6.2100,13.6000,1.799963
PHY_EDGE_ROW_17_Right_17,VPWR,li1,55.8900,57.1200,1.799932
PHY_EDGE_ROW_16_Right_16,VPWR,li1,55.8900,57.1200,1.799932
PHY_EDGE_ROW_15_Right_15,VPWR,li1,55.8900,51.6800,1.799988
PHY_EDGE_ROW_14_Right_14,VPWR,li1,55.8900,51.6800,1.799988
PHY_EDGE_ROW_13_Right_13,VPWR,li1,55.8900,46.2400,1.799992
PHY_EDGE_ROW_12_Right_12,VPWR,li1,55.8900,46.2400,1.799992
PHY_EDGE_ROW_11_Right_11,VPWR,li1,55.8900,40.8000,1.799955
PHY_EDGE_ROW_10_Right_10,VPWR,li1,55.8900,40.8000,1.799955
PHY_EDGE_ROW_9_Right_9,VPWR,li1,55.8900,35.3600,1.799981
PHY_EDGE_ROW_8_Right_8,VPWR,li1,55.8900,35.3600,1.799981
PHY_EDGE_ROW_7_Right_7,VPWR,li1,55.8900,29.9200,1.799973
PHY_EDGE_ROW_6_Right_6,VPWR,li1,55.8900,29.9200,1.799973
PHY_EDGE_ROW_5_Right_5,VPWR,li1,55.8900,24.4800,1.799969
PHY_EDGE_ROW_4_Right_4,VPWR,li1,55.8900,24.4800,1.799969
PHY_EDGE_ROW_3_Right_3,VPWR,li1,55.8900,19.0400,1.799907
PHY_EDGE_ROW_2_Right_2,VPWR,li1,55.8900,19.0400,1.799907
PHY_EDGE_ROW_1_Right_1,VPWR,li1,55.8900,13.6000,1.799905
PHY_EDGE_ROW_0_Right_0,VPWR,li1,55.8900,13.6000,1.799905
_129_,VPWR,li1,10.8100,19.0400,1.799972
_128_,VPWR,li1,16.7900,57.1200,1.799967
_127_,VPWR,li1,8.5100,13.6000,1.799964
_126_,VPWR,li1,8.5100,46.2400,1.799992
_125_,VPWR,li1,16.3300,51.6800,1.799990
_124_,VPWR,li1,19.5500,51.6800,1.799991
_123_,VPWR,li1,13.5700,51.6800,1.799989
_122_,VPWR,li1,10.3500,51.6800,1.799988
_121_,VPWR,li1,8.5100,46.2400,1.799992
_120_,VPWR,li1,20.4700,57.1200,1.799969
_119_,VPWR,li1,23.6900,57.1200,1.799962
_118_,VPWR,li1,26.4500,57.1200,1.799956
_117_,VPWR,li1,30.1300,57.1200,1.799952
_116_,VPWR,li1,39.7900,57.1200,1.799938
_115_,VPWR,li1,36.5700,57.1200,1.799940
_114_,VPWR,li1,44.3900,51.6800,1.799989
_113_,VPWR,li1,49.4500,57.1200,1.799933
_112_,VPWR,li1,46.2300,57.1200,1.799933
_111_,VPWR,li1,28.7500,51.6800,1.799991
_110_,VPWR,li1,26.9100,57.1200,1.799956
_109_,VPWR,li1,11.2700,51.6800,1.799988
_108_,VPWR,li1,34.2700,29.9200,1.799982
_107_,VPWR,li1,42.0900,24.4800,1.799976
_106_,VPWR,li1,43.4700,29.9200,1.799977
_105_,VPWR,li1,48.0700,13.6000,1.799910
_104_,VPWR,li1,44.3900,19.0400,1.799922
_103_,VPWR,li1,43.9300,40.8000,1.799962
_102_,VPWR,li1,39.7900,19.0400,1.799930
_101_,VPWR,li1,50.8300,35.3600,1.799982
_100_,VPWR,li1,50.8300,35.3600,1.799982
_099_,VPWR,li1,48.5300,40.8000,1.799958
_098_,VPWR,li1,39.3300,40.8000,1.799966
_097_,VPWR,li1,51.2900,13.6000,1.799905
_096_,VPWR,li1,50.8300,19.0400,1.799909
_095_,VPWR,li1,49.4500,29.9200,1.799974
_094_,VPWR,li1,50.3700,40.8000,1.799956
_093_,VPWR,li1,49.4500,51.6800,1.799988
_092_,VPWR,li1,52.6700,57.1200,1.799933
_091_,VPWR,li1,46.2300,51.6800,1.799988
_090_,VPWR,li1,47.1500,40.8000,1.799959
_089_,VPWR,li1,48.9900,46.2400,1.799993
_088_,VPWR,li1,47.6100,46.2400,1.799993
_087_,VPWR,li1,40.2500,29.9200,1.799978
_086_,VPWR,li1,36.1100,40.8000,1.799969
_085_,VPWR,li1,33.3500,57.1200,1.799945
_084_,VPWR,li1,10.3500,40.8000,1.799983
_083_,VPWR,li1,33.3500,35.3600,1.799989
_082_,VPWR,li1,24.6100,46.2400,1.799995
_081_,VPWR,li1,13.3400,40.8000,1.799983
_080_,VPWR,li1,8.5100,19.0400,1.799971
_079_,VPWR,li1,13.5700,57.1200,1.799966
_078_,VPWR,li1,14.9500,19.0400,1.799972
_077_,VPWR,li1,27.8300,40.8000,1.799979
_076_,VPWR,li1,26.4500,40.8000,1.799979
_075_,VPWR,li1,21.3900,19.0400,1.799973
_074_,VPWR,li1,21.8500,40.8000,1.799985
_073_,VPWR,li1,15.4100,19.0400,1.799972
_072_,VPWR,li1,33.3500,13.6000,1.799935
_071_,VPWR,li1,37.9500,13.6000,1.799925
_070_,VPWR,li1,29.6700,13.6000,1.799947
_069_,VPWR,li1,46.6900,29.9200,1.799975
_068_,VPWR,li1,49.4500,19.0400,1.799912
_067_,VPWR,li1,46.2300,19.0400,1.799917
_066_,VPWR,li1,33.3500,19.0400,1.799944
_065_,VPWR,li1,26.4500,13.6000,1.799955
_064_,VPWR,li1,23.2300,13.6000,1.799963
_063_,VPWR,li1,25.9900,19.0400,1.799963
_062_,VPWR,li1,20.4700,13.6000,1.799968
_061_,VPWR,li1,18.1700,13.6000,1.799967
_060_,VPWR,li1,9.8900,35.3600,1.799993
_059_,VPWR,li1,21.3900,40.8000,1.799985
_058_,VPWR,li1,14.9500,29.9200,1.799990
_057_,VPWR,li1,42.5500,13.6000,1.799915
_056_,VPWR,li1,20.0100,24.4800,1.799990
_055_,VPWR,li1,36.8000,19.0400,1.799937
_054_,VPWR,li1,9.8900,24.4800,1.799988
_053_,VPWR,li1,9.8900,19.0400,1.799971
_052_,VPWR,li1,12.8800,35.3600,1.799993
_051_,VPWR,li1,21.8500,29.9200,1.799991
_050_,VPWR,li1,10.3500,29.9200,1.799989
_049_,VPWR,li1,13.3400,24.4800,1.799988
